chr	start	end	mid	COcount	NCOcount	SNPcount
1	1	20000	10000.5	0	0	0
1	20001	40000	30000.5	0	7	1
1	40001	60000	50000.5	7	1	26
1	60001	80000	70000.5	5	1	40
1	80001	1.00E+05	90000.5	3	2	52
1	100001	120000	110000.5	14	0	19
1	120001	140000	130000.5	0	0	39
1	140001	160000	150000.5	25	1	1
1	160001	180000	170000.5	12	9	95
1	180001	2.00E+05	190000.5	1	1	34
2	1	20000	10000.5	4	0	36
2	20001	40000	30000.5	13	3	39
2	40001	60000	50000.5	4	0	90
2	60001	80000	70000.5	5	4	57
2	80001	1.00E+05	90000.5	4	3	60
2	100001	120000	110000.5	11	0	2
2	120001	140000	130000.5	4	0	39
2	140001	160000	150000.5	8	3	0
2	160001	180000	170000.5	11	0	88
2	180001	2.00E+05	190000.5	14	5	47
2	200001	220000	210000.5	6.75	0	1
2	220001	240000	230000.5	3.5	0	0
2	240001	260000	250000.5	6.25	0	6
2	260001	280000	270000.5	5	0	0
2	280001	3.00E+05	290000.5	11.5	1	21
2	300001	320000	310000.5	5.5	0	1
2	320001	340000	330000.5	5	0	0
2	340001	360000	350000.5	7	0	1
2	360001	380000	370000.5	7	0	0
2	380001	4.00E+05	390000.5	8	0	1
2	400001	420000	410000.5	7	0	0
2	420001	440000	430000.5	15.5	0	1
2	440001	460000	450000.5	0	0	1
2	460001	480000	470000.5	5	0	41
2	480001	5.00E+05	490000.5	3.5	0	66
2	500001	520000	510000.5	7	0	0
2	520001	540000	530000.5	7	0	0
2	540001	560000	550000.5	7	0	0
2	560001	580000	570000.5	7	1	0
2	580001	6.00E+05	590000.5	4.5	0	1
2	600001	620000	610000.5	2	0	0
2	620001	640000	630000.5	4	0	42
2	640001	660000	650000.5	1	1	146
2	660001	680000	670000.5	5	2	165
2	680001	7.00E+05	690000.5	3	0	139
2	700001	720000	710000.5	15	3	117
2	720001	740000	730000.5	2	0	248
2	740001	760000	750000.5	2	0	207
2	760001	780000	770000.5	11	4	140
2	780001	8.00E+05	790000.5	2	1	158
2	800001	820000	810000.5	2	0	142
2	820001	840000	830000.5	4	3	141
2	840001	860000	850000.5	4.125	1	81
2	860001	880000	870000.5	6.25	0	0
2	880001	9.00E+05	890000.5	6.25	0	0
2	900001	920000	910000.5	6.25	0	0
2	920001	940000	930000.5	7.7917	0	1
2	940001	960000	950000.5	7.3333	0	0
2	960001	980000	970000.5	7.3333	0	0
2	980001	1.00E+06	990000.5	4.6667	0	0
2	1000001	1020000	1010000.5	6	1	50
2	1020001	1040000	1030000.5	9	1	35
2	1040001	1060000	1050000.5	2	0	61
2	1060001	1080000	1070000.5	2	0	37
2	1080001	1100000	1090000.5	7	2	117
2	1100001	1120000	1110000.5	6	1	38
2	1120001	1140000	1130000.5	1	2	36
2	1140001	1160000	1150000.5	2	2	61
2	1160001	1180000	1170000.5	12	1	58
2	1180001	1200000	1190000.5	4	5	39
2	1200001	1220000	1210000.5	1	1	24
2	1220001	1240000	1230000.5	26	0	39
2	1240001	1260000	1250000.5	4	4	58
2	1260001	1280000	1270000.5	50	0	259
2	1280001	1300000	1290000.5	0	0	101
3	1	20000	10000.5	1	1	199
3	20001	40000	30000.5	0	0	4
3	40001	60000	50000.5	7	0	43
3	60001	80000	70000.5	1	0	90
3	80001	1.00E+05	90000.5	3	0	118
3	100001	120000	110000.5	4	0	43
3	120001	140000	130000.5	32	4	74
3	140001	160000	150000.5	5	4	232
3	160001	180000	170000.5	10	3	55
3	180001	2.00E+05	190000.5	8	0	22
3	200001	220000	210000.5	51	0	7
3	220001	240000	230000.5	1	0	43
3	240001	260000	250000.5	11	1	62
3	260001	280000	270000.5	21	11	38
3	280001	3.00E+05	290000.5	13	4	160
4	1	20000	10000.5	1.5	0	1
4	20001	40000	30000.5	3	0	0
4	40001	60000	50000.5	11.5	0	14
4	60001	80000	70000.5	3	3	60
4	80001	1.00E+05	90000.5	7	2	35
4	100001	120000	110000.5	5	1	28
4	120001	140000	130000.5	18	3	44
4	140001	160000	150000.5	7	4	59
4	160001	180000	170000.5	4	0	53
4	180001	2.00E+05	190000.5	9	1	17
4	200001	220000	210000.5	6	3	13
4	220001	240000	230000.5	9	1	9
4	240001	260000	250000.5	14	0	0
4	260001	280000	270000.5	13	1	100
4	280001	3.00E+05	290000.5	5	3	69
4	300001	320000	310000.5	8	0	12
4	320001	340000	330000.5	0	1	194
4	340001	360000	350000.5	16	1	121
4	360001	380000	370000.5	8.75	1	1
4	380001	4.00E+05	390000.5	3.5	0	0
4	400001	420000	410000.5	11.75	2	13
4	420001	440000	430000.5	4	1	13
4	440001	460000	450000.5	1	0	21
4	460001	480000	470000.5	2	3	42
4	480001	5.00E+05	490000.5	4	1	47
4	500001	520000	510000.5	7	6	67
4	520001	540000	530000.5	1.3333	0	46
4	540001	560000	550000.5	0.6667	0	0
4	560001	580000	570000.5	0.6667	0	0
4	580001	6.00E+05	590000.5	24.3333	0	1
4	600001	620000	610000.5	4	0	1
4	620001	640000	630000.5	8	0	0
4	640001	660000	650000.5	10.5	0	1
4	660001	680000	670000.5	11	0	0
4	680001	7.00E+05	690000.5	6.5	0	1
4	700001	720000	710000.5	3.5	0	3
4	720001	740000	730000.5	5	0	0
4	740001	760000	750000.5	5.5	1	14
4	760001	780000	770000.5	1	0	41
4	780001	8.00E+05	790000.5	4	0	42
4	800001	820000	810000.5	4	0	37
4	820001	840000	830000.5	11	0	21
